"country","year","country_name","ISO","COWcode","Region_UN","Vdem_libdem_z","Vdem_libdem_m1","ChgDem","Vdem_regime_di","Vdem_polyarchy_z","Vdem_liberal_z","corruption_z","corruption_m1","swiid_gini","swiid_gini_m1","edu_year","edu_year_m1","DemYear_z","lg_imp_mdpgdp","lg_imp_imfgdp","lg_mdpgdp_lag1","lg_imfgdp_lag1"
"Hungary",1987,"Hungary","HUN",310,"Eastern Europe",-1.15363893065232,-0.864523564217363,-0.289115366434958,0,-1.46670596275094,-1.00275186851005,NA,NA,21.8,NA,NA,NA,-1.49293527032924,9.3888212293842,9.21051552344756,9.34958043906769,9.14469210631418
"Iceland",1987,"Iceland","ISL",395,"Northern Europe",1.34832097118866,-1.15363893065232,2.50195990184098,1,1.27743052740048,1.00125965003389,NA,NA,NA,21.8,NA,NA,-1.65468060798406,10.3838436594859,9.78825759826203,10.2881375209304,9.69263553208477
"India",1987,"India","IND",750,"Southern Asia",0.417962548430013,1.34832097118866,-0.930358422758646,1,0.651175311805756,0.446958591713225,NA,NA,40,NA,NA,NA,-1.65468060798406,6.99759598298193,6.78402365571529,6.96034772910131,6.74254237043361
"Indonesia",1987,"Indonesia","IDN",850,"South-Eastern Asia",-1.37232875910953,0.417962548430013,-1.79029130753955,0,-1.341454919632,-1.91366619512093,NA,NA,41,40,NA,NA,-0.919219323375134,7.8739783796045,7.66292832709564,7.85515700588134,7.5944209707876
"Iran",1987,"Iran","IRN",630,"Southern Asia",-1.19441161053417,-1.37232875910953,0.177917148575359,0,-1.40597818426903,-1.20431588971756,NA,NA,43.6,41,NA,NA,NA,8.56063574925907,8.77335486737116,8.60776488960062,8.75815313791035
"Iraq",1987,"Iraq","IRQ",645,"Western Asia",-1.34267590101364,-1.19441161053417,-0.148264290479466,0,-1.76275388285027,-1.5221668462371,NA,NA,NA,43.6,NA,NA,NA,9.31109027507633,9.0681960024183,9.30928031983109,9.0937712796095
"Ireland",1987,"Ireland","IRL",205,"Northern Europe",1.1704038226133,-1.34267590101364,2.51307972362694,1,1.15217948428153,0.935363720023739,NA,NA,32.1,NA,NA,NA,-1.65468060798406,9.55972883386394,9.30314033067025,9.49934656739009,9.2430537317449
"Israel",1987,"Israel","ISR",666,"Western Asia",0.933180957846156,1.1704038226133,-0.237222864767145,1,0.87131350880269,0.900477639430131,NA,NA,31.2,32.1,NA,NA,-1.65468060798406,9.91950852859031,9.32559229577563,9.85807168900565,9.24508672449575
"Italy",1987,"Italy","ITA",325,"Southern Europe",1.04067256844377,0.933180957846156,0.107491610597612,1,0.996564551921634,0.954744875909077,NA,NA,32.3,31.2,NA,NA,-1.65468060798406,10.0062697471792,9.7092381068322,9.96100145873674,9.65469878887749
"Jamaica",1987,"Jamaica","JAM",51,"Caribbean",-0.0601897883662632,1.04067256844377,-1.10086235681003,1,-0.0623760853567155,0.412072511119617,NA,NA,NA,32.3,NA,NA,-1.65468060798406,8.39705739017626,8.41030956943241,8.30003171177957,8.31900491773077
"Japan",1987,"Japan","JPN",740,"Eastern Asia",1.1704038226133,-0.0601897883662632,1.23059361097956,1,1.08006524733426,1.00901211238802,NA,NA,27.5,NA,NA,NA,-1.65468060798406,9.97664507315385,9.90596809750638,9.9219657737819,9.69263553208477
"Jordan",1987,"Jordan","JOR",663,"Western Asia",-0.983134996600935,1.1704038226133,-2.15353881921424,0,-1.56538860278405,-0.254639251336006,NA,NA,38.5,27.5,NA,NA,NA,8.63621989783788,8.50090568100529,8.51458980554612,8.48617310198319
"Kazakhstan",1987,"Kazakhstan","KAZ",365,"Central Asia",-1.39827500994344,-0.983134996600935,-0.415140013342503,0,-1.5160472827675,NA,NA,NA,NA,38.5,NA,NA,NA,9.2924732015147,8.88835124550015,9.30864606076031,8.95858308383133
"Kenya",1987,"Kenya","KEN",501,"Eastern Africa",-1.23889089767801,-1.39827500994344,0.159384112265425,0,-1.36422783656272,-1.39812744857094,NA,NA,48.6,NA,NA,NA,NA,7.66669020008009,7.20758784522891,7.6889133368648,7.16284462341477
"Kosovo",1987,"Kosovo","XKX",345,"Southern Europe",-1.10174642898451,-1.23889089767801,0.137144468693506,0,-1.55020665816357,NA,NA,NA,NA,48.6,NA,NA,-0.797468176302448,8.14177220465645,7.54392917037605,7.19142933003638,10.5937625266276
"Kuwait",1987,"Kuwait","KWT",690,"Western Asia",-1.12398607255643,-1.10174642898451,-0.0222396435719199,0,-1.71720804898883,-0.677148449636372,NA,NA,NA,NA,NA,NA,NA,10.3390614734146,10.2835803972568,10.3220004994935,10.2374289446188
"Kyrgyzstan",1987,"Kyrgyzstan","KGZ",365,"Central Asia",-1.39827500994344,-1.12398607255643,-0.274288937387011,0,-1.5160472827675,NA,NA,NA,NA,NA,NA,NA,NA,8.70167907103957,8.81331015034207,8.73391617492752,8.1627823423953
"Latvia",1987,"Latvia","LVA",365,"Northern Europe",-1.39827500994344,-1.39827500994344,0,0,-1.5160472827675,NA,NA,NA,NA,NA,NA,NA,-1.47948608715424,9.43420366421474,9.4608624683915,9.44651860156085,8.92315931674781
"Lebanon",1987,"Lebanon","LBN",660,"Western Asia",-0.87934999326531,-1.39827500994344,0.518925016678129,0,-0.734177134812873,-0.925227244968697,NA,NA,NA,NA,NA,NA,-0.63036749317565,9.39764947028118,9.36576890056832,9.25244154799482,9.18931107872192
"Lesotho",1987,"Lesotho","LSO",570,"Southern Africa",-1.14993232339033,-0.87934999326531,-0.270582330125025,0,-1.51984276892262,-0.944608400854035,NA,NA,53.1,NA,NA,NA,-0.799686458933675,7.1800698743028,6.48114988658446,7.17242457712485,6.45797740870884
"Liberia",1987,"Liberia","LBR",450,"Western Africa",-1.05726714184067,-1.14993232339033,0.092665181549666,0,-1.11372575032483,-0.971742019093508,NA,NA,NA,53.1,NA,NA,-0.689772351103351,6.70563909486,7.58079733156202,6.69950034016168,7.33602955064017
"Libya",1987,"Libya","LBY",620,"Northern Africa",-1.39086179541947,-1.05726714184067,-0.333594653578797,0,-1.80070874440146,-1.70434971155928,NA,NA,NA,NA,NA,NA,-0.510952308021268,9.97301361518474,9.8294259046999,10.1574706390013,9.99242646842922
"Lithuania",1987,"Lithuania","LTU",365,"Northern Europe",-1.39827500994344,-1.39086179541947,-0.00741321452397337,0,-1.5160472827675,NA,NA,NA,NA,NA,NA,NA,-1.47948608715424,9.38126388381777,9.90596809750638,9.36930800307183,9.57434286674313
"Luxembourg",1987,"Luxembourg","LUX",212,"Western Europe",1.28530864773489,-1.39827500994344,2.68358365767832,1,1.26224858278,0.958621107086145,NA,NA,24.1,NA,NA,NA,-1.65468060798406,10.2230315981367,10.2122209269684,10.2034069426524,10.1555422363521
"Madagascar",1987,"Madagascar","MDG",580,"Eastern Africa",-1.18329178874821,1.28530864773489,-2.4686004364831,0,-1.24277227959889,-1.31285036267545,NA,NA,44.2,24.1,NA,NA,-1.50652722205559,6.9782137426307,7.00310563717407,7.06561336359772,6.99518966823094
"Malawi",1987,"Malawi","MWI",553,"Eastern Africa",-1.29078339934583,-1.18329178874821,-0.107491610597612,0,-1.42116012888951,-1.56092915800778,NA,NA,49.6,44.2,NA,NA,-1.10818717023505,6.96034772910131,6.11346529875899,7.03262426102801,6.1330566772663
"Malaysia",1987,"Malaysia","MYS",820,"South-Eastern Asia",-1.04985392731669,-1.29078339934583,0.240929472029131,0,-1.08715734723899,-0.998875637332981,NA,NA,45.1,49.6,NA,NA,NA,8.81433042263877,8.56009219463085,8.77121506237538,8.51254940111796
