country,year,item,r,n,survey,cc_rank,y_claassen
Colombia,2010,strong_amb_1,1,157.9990984,amb_combo,332,NA
Colombia,2010,strong_amb_1,2,1291.992627,amb_combo,332,NA
Colombia,2010,threestate_amb,1,164.9990584,amb_combo,332,NA
Colombia,2010,threestate_amb,2,123.9992924,amb_combo,332,NA
Colombia,2010,threestate_amb,3,1080.993831,amb_combo,332,NA
Colombia,2010,threestate_lb,1,212.3855426,lb2010,332,NA
Colombia,2010,threestate_lb,2,271.4547094,lb2010,332,NA
Colombia,2010,threestate_lb,3,716.1597484,lb2010,332,NA
Colombia,2011,church_amb,1,39,amb_colombia2011,332,NA
Colombia,2011,church_amb,2,61,amb_colombia2011,332,NA
Colombia,2011,church_amb,3,94,amb_colombia2011,332,NA
Colombia,2011,church_amb,4,220,amb_colombia2011,332,NA
Colombia,2011,church_amb,5,276,amb_colombia2011,332,NA
Colombia,2011,church_amb,6,322,amb_colombia2011,332,NA
Colombia,2011,church_amb,7,400,amb_colombia2011,332,NA
Colombia,2011,church_lb,1,81.87882799,lb2011,332,NA
Colombia,2011,church_lb,2,172.0618501,lb2011,332,NA
Colombia,2011,church_lb,3,749.0189891,lb2011,332,NA
Colombia,2011,church_lb,4,197.0403332,lb2011,332,NA
Colombia,2011,strong_amb_1,1,183,amb_colombia2011,332,NA
Colombia,2011,strong_amb_1,2,1264,amb_colombia2011,332,NA
Colombia,2011,threestate_amb,1,133,amb_colombia2011,332,NA
Colombia,2011,threestate_amb,2,141,amb_colombia2011,332,NA
Colombia,2011,threestate_amb,3,1110,amb_colombia2011,332,NA
Colombia,2011,threestate_lb,1,221.6103117,lb2011,332,NA
Colombia,2011,threestate_lb,2,322.3438533,lb2011,332,NA
Colombia,2011,threestate_lb,3,656.0458354,lb2011,332,NA
Colombia,2012,army_wvs,1,141.1169969,wvs_combo,332,NA
Colombia,2012,army_wvs,2,405.3360549,wvs_combo,332,NA
Colombia,2012,army_wvs,3,685.5683892,wvs_combo,332,NA
Colombia,2012,army_wvs,4,281.233164,wvs_combo,332,NA
Colombia,2012,church_amb,1,62.99964049,amb_combo,332,NA
Colombia,2012,church_amb,2,52.99969756,amb_combo,332,NA
Colombia,2012,church_amb,3,127.9992696,amb_combo,332,NA
Colombia,2012,church_amb,4,220.9987389,amb_combo,332,NA
Colombia,2012,church_amb,5,298.9982938,amb_combo,332,NA
Colombia,2012,church_amb,6,297.9982995,amb_combo,332,NA
Colombia,2012,church_amb,7,364.9979171,amb_combo,332,NA
Colombia,2012,evdemoc_wvs,1,95.0788277,wvs_combo,332,NA
Colombia,2012,evdemoc_wvs,2,172.1427196,wvs_combo,332,NA
Colombia,2012,evdemoc_wvs,3,818.678748,wvs_combo,332,NA
Colombia,2012,evdemoc_wvs,4,427.3543098,wvs_combo,332,NA
Colombia,2012,impdemoc_wvs,1,57.04729662,wvs_combo,332,NA
Colombia,2012,impdemoc_wvs,2,21.01742507,wvs_combo,332,NA
Colombia,2012,impdemoc_wvs,3,13.01078695,wvs_combo,332,NA
Colombia,2012,impdemoc_wvs,4,34.02821202,wvs_combo,332,NA
Colombia,2012,impdemoc_wvs,5,103.0854658,wvs_combo,332,NA
Colombia,2012,impdemoc_wvs,6,82.06804075,wvs_combo,332,NA
Colombia,2012,impdemoc_wvs,7,139.1153374,wvs_combo,332,NA
