"","ISO","year","dependence","wdi_pop","country","country_name","COWcode","Region_UN","muslism_prop_2010","muslism_prop_1990","dependence_pc","dependence_pc_di","dependence_pc_di_m1","lg_imp_mdpgdp","lg_imp_imfgdp","lg_mdpgdp_lag1","lg_imfgdp_lag1","mdprgdp_grwth_r","imfgdp_grwth_r","mdprgdp_grwth","imfgdp_grwth","imfgdp_grwth_lag1","mdprgdp_grwth_lag1","imfgdp_grwth_rlag1","mdprgdp_grwth_rlag1","firstyear","regime","country_text_id","Vdem_polyarchy","Vdem_libdem","Vdem_region","Vdem_regime","Vdem_liberal","Vdem_corruption","liberal_sd","polyarchy_sd","libdem_sd","corr_sd","Vdem_libdem_m1","Vdem_libdem_m2","Region_libdem","Chgdem","upchgdem","downchgdem","Region_libdem_m1"
"57","IRQ",1986,14.73719354,15909762,"Iraq","Iraq",NA,NA,NA,NA,1626.986167,1,NA,9.30928032,9.09377128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","IRL",1986,0.204297314,3539690,"Ireland","Ireland",NA,NA,NA,NA,27.27573445,0,NA,9.499346567,9.243053732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","ISR",1986,0.020902296,4299000,"Israel","Israel",NA,NA,NA,NA,3.994846782,0,NA,9.858071689,9.245086724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","ITA",1986,0.089382504,56596155,"Italy","Italy",NA,NA,NA,NA,18.93478969,0,NA,9.961001459,9.654698789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","JAM",1986,6.608378169,2358161,"Jamaica","Jamaica",NA,NA,NA,NA,265.9211375,0,NA,8.300031712,8.319004918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","JPN",1986,0.049249341,121492000,"Japan","Japan",NA,NA,NA,NA,10.03356829,0,NA,9.921965774,9.692635532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","JOR",1986,0.086919518,3015299,"Jordan","Jordan",NA,NA,NA,NA,4.334676373,0,NA,8.514589806,8.486173102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","KAZ",1986,NA,15852525,"Kazakhstan","Kazakhstan",NA,NA,NA,NA,NA,NA,NA,9.308646061,8.958583084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","KEN",1986,4.120500218,20622560,"Kenya","Kenya",NA,NA,NA,NA,89.99172476,0,NA,7.688913337,7.162844623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","XKX",1986,NA,1717000,"Kosovo","Kosovo",NA,NA,NA,NA,NA,NA,NA,7.19142933,10.59376253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
